I0,I1,I2
8220.000,8220.000,48.000
7395.000,8014.000,47.600
7007.000,7762.000,47.100
6768.000,7573.000,46.800
6604.000,7372.000,46.400
6504.000,7180.000,46.000
6409.000,7011.000,45.700
6312.000,6860.000,45.400
6247.000,6723.000,45.200
6207.000,6604.000,45.000
6171.000,6505.000,44.800
6139.000,6421.000,44.600
6132.000,6351.000,44.500
6111.000,6296.000,44.400
6091.000,6250.000,44.300
6089.000,6210.000,44.200
6077.000,6180.000,44.200
6077.000,6154.000,44.100
6057.000,6135.000,44.100
6037.000,6115.000,44.100
6023.000,6096.000,44.000
6022.000,6078.000,44.000
6006.000,6064.000,44.000
5997.000,6049.000,43.900
6006.000,6038.000,43.900
5977.000,6028.000,43.900
5975.000,6015.000,43.900
5984.000,6006.000,43.900
5988.000,6000.000,43.900
5957.000,5996.000,43.800
5965.000,5988.000,43.800
5966.000,5983.000,43.800
5956.000,5978.000,43.800
5942.000,5973.000,43.800
5931.000,5965.000,43.800
5925.000,5956.000,43.800
5923.000,5949.000,43.800
5927.000,5943.000,43.700
5945.000,5939.000,43.700
5924.000,5936.000,43.700
5903.000,5933.000,43.700
5902.000,5925.000,43.700
5898.000,5920.000,43.700
5892.000,5914.000,43.700
5892.000,5909.000,43.700
5878.000,5904.000,43.700
5877.000,5898.000,43.700
5862.000,5893.000,43.700
5862.000,5885.000,43.600
5874.000,5879.000,43.600
5907.000,5878.000,43.600
5925.000,5885.000,43.600
5924.000,5895.000,43.700
5914.000,5902.000,43.700
5914.000,5905.000,43.700
5914.000,5907.000,43.700
5906.000,5909.000,43.700
5899.000,5908.000,43.700
5901.000,5906.000,43.700
5897.000,5905.000,43.700
5878.000,5903.000,43.700
5872.000,5897.000,43.700
5887.000,5892.000,43.700
5894.000,5891.000,43.700
5893.000,5891.000,43.700
5882.000,5892.000,43.700
5884.000,5890.000,43.600
5862.000,5888.000,43.600
5842.000,5881.000,43.600
5808.000,5872.000,43.600
5817.000,5858.000,43.600
5820.000,5848.000,43.600
5814.000,5840.000,43.600
5829.000,5835.000,43.500
5845.000,5834.000,43.500
5855.000,5836.000,43.500
5846.000,5839.000,43.600
5817.000,5841.000,43.600
5811.000,5835.000,43.500
5814.000,5830.000,43.500
5804.000,5825.000,43.500
5799.000,5820.000,43.500
5805.000,5816.000,43.500
5806.000,5813.000,43.500
5793.000,5811.000,43.500
5789.000,5807.000,43.500
5789.000,5802.000,43.500
5781.000,5799.000,43.500
5775.000,5794.000,43.500
5769.000,5790.000,43.500
5761.000,5784.000,43.500
5752.000,5779.000,43.400
5772.000,5774.000,43.400
5781.000,5774.000,43.400
5788.000,5775.000,43.400
5773.000,5777.000,43.400
5759.000,5776.000,43.400
5760.000,5772.000,43.400
5766.000,5769.000,43.400
5767.000,5768.000,43.400
5768.000,5768.000,43.400
5769.000,5768.000,43.400
5764.000,5768.000,43.400
5758.000,5767.000,43.400
5747.000,5765.000,43.400
5743.000,5760.000,43.400
5759.000,5757.000,43.400
5767.000,5757.000,43.400
5770.000,5760.000,43.400
5779.000,5762.000,43.400
5762.000,5764.000,43.400
5757.000,5764.000,43.400
5760.000,5763.000,43.400
5752.000,5761.000,43.400
5743.000,5759.000,43.400
5740.000,5755.000,43.400
5748.000,5752.000,43.400
5748.000,5751.000,43.400
5732.000,5750.000,43.400
5741.000,5748.000,43.400
5736.000,5745.000,43.400
5758.000,5744.000,43.400
5793.000,5747.000,43.400
5770.000,5753.000,43.400
5761.000,5757.000,43.400
5762.000,5758.000,43.400
5740.000,5759.000,43.400
5761.000,5760.000,43.400
5777.000,5760.000,43.400
5764.000,5761.000,43.400
5778.000,5765.000,43.400
5779.000,5768.000,43.400
5784.000,5771.000,43.400
5801.000,5774.000,43.400
5792.000,5779.000,43.400
5800.000,5784.000,43.500
5817.000,5788.000,43.500
5841.000,5795.000,43.500
5854.000,5807.000,43.500
5829.000,5815.000,43.500
5822.000,5819.000,43.500
5843.000,5821.000,43.500
5878.000,5827.000,43.500
5910.000,5840.000,43.600
5904.000,5856.000,43.600
5894.000,5868.000,43.600
5875.000,5874.000,43.600
5876.000,5875.000,43.600
5863.000,5875.000,43.600
5851.000,5872.000,43.600
5863.000,5870.000,43.600
5870.000,5868.000,43.600
5874.000,5868.000,43.600
5875.000,5870.000,43.600
5872.000,5871.000,43.600
5878.000,5872.000,43.600
5864.000,5872.000,43.600
5869.000,5871.000,43.600
5874.000,5871.000,43.600
5885.000,5871.000,43.600
5894.000,5875.000,43.600
5901.000,5880.000,43.600
5893.000,5883.000,43.600
5902.000,5888.000,43.600
5909.000,5891.000,43.700
5911.000,5896.000,43.700
5911.000,5900.000,43.700
5905.000,5902.000,43.700
5919.000,5905.000,43.700
5911.000,5906.000,43.700
5900.000,5907.000,43.700
5903.000,5906.000,43.700
5909.000,5905.000,43.700
5920.000,5906.000,43.700
5931.000,5910.000,43.700
5943.000,5915.000,43.700
5953.000,5922.000,43.700
5953.000,5930.000,43.700
5954.000,5936.000,43.700
5969.000,5940.000,43.700
5978.000,5947.000,43.800
5978.000,5955.000,43.800
5972.000,5961.000,43.800
5967.000,5964.000,43.800
5993.000,5966.000,43.800
6009.000,5973.000,43.800
5994.000,5978.000,43.800
5984.000,5982.000,43.800
5969.000,5982.000,43.800
5975.000,5981.000,43.800
5985.000,5979.000,43.800
5979.000,5979.000,43.800
5981.000,5980.000,43.800
5983.000,5980.000,43.800
5995.000,5981.000,43.800
6020.000,5984.000,43.800
6010.000,5991.000,43.800
6017.000,5997.000,43.800
6032.000,6002.000,43.900
6030.000,6009.000,43.900
6041.000,6015.000,43.900
6045.000,6021.000,43.900
6055.000,6027.000,43.900
6060.000,6034.000,43.900
6040.000,6039.000,43.900
6044.000,6041.000,43.900
6044.000,6041.000,43.900
6050.000,6042.000,43.900
6050.000,6044.000,43.900
6034.000,6046.000,43.900
6028.000,6043.000,43.900
6016.000,6039.000,43.900
6020.000,6034.000,43.900
6047.000,6031.000,43.900
6063.000,6035.000,43.900
6091.000,6042.000,43.900
6113.000,6054.000,44.000
6116.000,6069.000,44.000
6090.000,6080.000,44.000
6062.000,6082.000,44.000
6060.000,6077.000,44.000
6065.000,6073.000,44.000
6076.000,6071.000,44.000
6073.000,6072.000,44.000
6095.000,6073.000,44.000
6093.000,6078.000,44.000
6087.000,6082.000,44.000
6093.000,6084.000,44.000
6093.000,6087.000,44.000
6098.000,6088.000,44.000
6108.000,6091.000,44.000
6115.000,6095.000,44.000
6112.000,6099.000,44.000
6114.000,6103.000,44.000
6115.000,6106.000,44.000
6121.000,6108.000,44.100
6126.000,6111.000,44.100
6129.000,6115.000,44.100
6130.000,6118.000,44.100
6126.000,6121.000,44.100
6146.000,6123.000,44.100
6165.000,6129.000,44.100
6163.000,6137.000,44.100
6161.000,6144.000,44.100
6158.000,6148.000,44.100
6160.000,6151.000,44.100
6146.000,6153.000,44.100
6141.000,6151.000,44.100
6151.000,6150.000,44.100
6162.000,6150.000,44.100
6166.000,6153.000,44.100
6187.000,6156.000,44.100
6191.000,6164.000,44.200
6183.000,6170.000,44.200
6189.000,6175.000,44.200
6200.000,6178.000,44.200
6203.000,6184.000,44.200
6190.000,6188.000,44.200
6205.000,6192.000,44.200
6204.000,6195.000,44.200
6194.000,6197.000,44.200
6219.000,6199.000,44.200
6240.000,6204.000,44.200
