I0,I1,I2
15973.000,15973.000,11.800
15166.000,15771.000,11.600
14755.000,15517.000,11.300
14518.000,15327.000,11.100
14357.000,15124.000,10.900
14247.000,14933.000,10.700
14163.000,14761.000,10.500
14099.000,14612.000,10.300
14055.000,14483.000,10.000
14013.000,14376.000,9.800
13982.000,14286.000,9.700
13955.000,14210.000,9.600
13939.000,14146.000,9.500
13929.000,14094.000,9.400
13922.000,14053.000,9.300
13921.000,14020.000,9.300
13912.000,13995.000,9.300
13901.000,13975.000,9.200
13885.000,13956.000,9.200
13876.000,13938.000,9.200
13885.000,13925.000,9.200
13884.000,13915.000,9.100
13875.000,13907.000,9.100
13874.000,13899.000,9.100
13870.000,13893.000,9.100
13863.000,13887.000,9.100
13854.000,13881.000,9.100
13846.000,13874.000,9.100
13834.000,13867.000,9.100
13847.000,13862.000,9.100
13841.000,13857.000,9.100
13834.000,13853.000,9.100
13826.000,13848.000,9.100
13799.000,13843.000,9.100
13780.000,13832.000,9.100
13760.000,13819.000,9.100
13765.000,13805.000,9.100
13771.000,13795.000,9.100
13754.000,13788.000,9.100
13746.000,13779.000,9.100
13761.000,13773.000,9.100
13774.000,13770.000,9.100
13771.000,13770.000,9.100
13773.000,13771.000,9.100
13777.000,13771.000,9.100
13766.000,13772.000,9.100
13756.000,13770.000,9.100
13757.000,13767.000,9.100
13764.000,13765.000,9.100
13761.000,13764.000,9.100
13754.000,13763.000,9.100
13748.000,13761.000,9.100
13759.000,13759.000,9.100
13766.000,13759.000,9.100
13757.000,13759.000,9.100
13762.000,13760.000,9.100
13754.000,13759.000,9.100
13735.000,13758.000,9.100
13752.000,13756.000,9.100
13766.000,13755.000,9.100
13781.000,13758.000,9.100
13784.000,13764.000,9.200
13777.000,13768.000,9.200
13768.000,13770.000,9.200
13773.000,13771.000,9.200
13777.000,13771.000,9.200
13792.000,13773.000,9.200
13795.000,13778.000,9.200
13782.000,13781.000,9.200
13777.000,13781.000,9.300
13773.000,13780.000,9.300
13768.000,13778.000,9.300
13769.000,13776.000,9.300
13762.000,13774.000,9.300
13761.000,13771.000,9.300
13768.000,13769.000,9.300
13771.000,13769.000,9.300
13759.000,13768.000,9.300
13771.000,13769.000,9.300
13789.000,13770.000,9.300
13775.000,13771.000,9.300
13761.000,13772.000,9.300
13761.000,13769.000,9.300
13773.000,13767.000,9.300
13761.000,13766.000,9.300
13741.000,13764.000,9.300
13757.000,13763.000,9.300
13763.000,13761.000,9.300
13763.000,13762.000,9.300
13756.000,13762.000,9.300
13763.000,13762.000,9.300
13746.000,13761.000,9.300
13752.000,13759.000,9.300
13753.000,13757.000,9.200
13749.000,13756.000,9.200
13747.000,13754.000,9.200
13747.000,13752.000,9.200
13748.000,13751.000,9.200
13775.000,13750.000,9.200
13793.000,13756.000,9.200
13782.000,13763.000,9.200
13779.000,13768.000,9.200
13767.000,13770.000,9.200
13764.000,13770.000,9.200
13765.000,13768.000,9.200
13772.000,13768.000,9.200
13777.000,13769.000,9.100
13775.000,13770.000,9.100
13786.000,13772.000,9.100
13793.000,13775.000,9.100
13793.000,13780.000,9.100
13794.000,13783.000,9.100
13796.000,13786.000,9.100
13799.000,13788.000,9.100
13801.000,13791.000,9.100
13801.000,13794.000,9.100
13801.000,13795.000,9.100
13807.000,13797.000,9.100
13825.000,13799.000,9.000
13841.000,13806.000,9.100
13830.000,13812.000,9.000
13835.000,13818.000,9.000
13825.000,13821.000,9.000
13825.000,13822.000,9.000
13854.000,13823.000,9.000
13866.000,13830.000,9.000
13866.000,13839.000,9.000
13870.000,13846.000,9.000
13867.000,13851.000,9.000
13861.000,13855.000,9.000
13861.000,13857.000,9.000
13864.000,13858.000,9.000
13870.000,13859.000,9.000
13884.000,13862.000,9.000
13884.000,13867.000,9.000
13884.000,13872.000,9.000
13886.000,13875.000,9.000
13897.000,13878.000,9.000
13903.000,13882.000,9.000
13901.000,13887.000,9.000
13899.000,13891.000,9.000
13899.000,13893.000,8.900
13917.000,13894.000,8.900
13907.000,13897.000,8.900
13907.000,13900.000,8.900
13901.000,13902.000,8.900
13878.000,13901.000,8.900
13890.000,13899.000,8.900
13896.000,13896.000,8.900
13899.000,13896.000,8.900
13903.000,13897.000,8.900
13898.000,13898.000,8.900
13908.000,13899.000,8.900
13915.000,13901.000,8.900
13913.000,13904.000,8.900
13912.000,13906.000,8.900
13917.000,13908.000,8.900
13917.000,13910.000,8.900
13919.000,13912.000,8.900
13911.000,13913.000,8.900
13924.000,13915.000,8.900
13931.000,13917.000,8.900
13928.000,13920.000,8.900
13927.000,13922.000,8.900
13936.000,13923.000,8.900
13945.000,13927.000,8.900
13943.000,13931.000,8.900
13948.000,13934.000,8.900
13948.000,13938.000,8.900
13952.000,13940.000,8.900
13939.000,13942.000,8.900
13931.000,13941.000,8.900
13926.000,13939.000,8.800
13914.000,13936.000,8.800
13923.000,13932.000,8.800
13938.000,13930.000,8.800
13934.000,13931.000,8.800
13926.000,13932.000,8.800
13924.000,13930.000,8.800
13931.000,13929.000,8.800
13925.000,13928.000,8.800
13928.000,13928.000,8.800
13932.000,13928.000,8.800
13923.000,13928.000,8.800
13921.000,13927.000,8.800
13931.000,13926.000,8.800
13931.000,13927.000,8.800
13941.000,13928.000,8.800
13941.000,13931.000,8.800
13962.000,13934.000,8.800
13964.000,13941.000,8.800
13953.000,13946.000,8.800
13963.000,13950.000,8.800
13988.000,13953.000,8.800
14005.000,13962.000,8.800
14004.000,13973.000,8.800
13997.000,13980.000,8.800
13985.000,13985.000,8.800
13983.000,13985.000,8.800
13993.000,13985.000,8.800
