I0,I1,I2
286611.000,286611.000,507.900
285796.000,286407.000,507.700
285387.000,286152.000,507.400
285148.000,285961.000,507.300
284991.000,285758.000,507.000
284888.000,285566.000,506.900
284795.000,285397.000,506.700
284731.000,285246.000,506.400
284707.000,285117.000,506.200
284670.000,285015.000,506.000
284640.000,284929.000,505.900
284637.000,284856.000,505.700
284609.000,284802.000,505.700
284580.000,284753.000,505.600
284587.000,284712.000,505.500
284562.000,284679.000,505.500
284543.000,284650.000,505.400
284543.000,284623.000,505.400
284539.000,284603.000,505.400
284536.000,284587.000,505.300
284541.000,284575.000,505.300
284527.000,284565.000,505.300
284518.000,284556.000,505.300
284514.000,284546.000,505.300
284492.000,284538.000,505.300
284490.000,284527.000,505.300
284479.000,284517.000,505.300
284459.000,284508.000,505.300
284454.000,284496.000,505.300
284441.000,284485.000,505.200
284426.000,284474.000,505.200
284422.000,284462.000,505.200
284403.000,284452.000,505.200
284406.000,284441.000,505.200
284410.000,284432.000,505.200
284413.000,284426.000,505.200
284417.000,284423.000,505.200
284414.000,284421.000,505.200
284403.000,284419.000,505.200
284388.000,284415.000,505.200
284392.000,284409.000,505.200
284397.000,284405.000,505.200
284386.000,284402.000,505.200
284369.000,284398.000,505.200
284366.000,284391.000,505.200
284366.000,284384.000,505.200
284378.000,284380.000,505.200
284368.000,284377.000,505.200
284348.000,284375.000,505.200
284356.000,284370.000,505.200
284352.000,284366.000,505.200
284345.000,284362.000,505.200
284339.000,284358.000,505.200
284342.000,284354.000,505.200
284341.000,284351.000,505.200
284329.000,284348.000,505.200
284314.000,284343.000,505.100
284305.000,284336.000,505.100
284306.000,284329.000,505.100
284303.000,284323.000,505.100
284304.000,284318.000,505.100
284284.000,284314.000,505.100
284272.000,284307.000,505.100
284249.000,284298.000,505.100
284264.000,284290.000,505.100
284264.000,284283.000,505.100
284264.000,284278.000,505.100
284266.000,284275.000,505.100
284263.000,284272.000,505.100
284259.000,284270.000,505.100
284266.000,284268.000,505.100
284268.000,284268.000,505.100
284260.000,284267.000,505.100
284246.000,284265.000,505.200
284233.000,284261.000,505.200
284238.000,284255.000,505.200
284254.000,284251.000,505.200
284252.000,284251.000,505.100
284238.000,284251.000,505.100
284244.000,284249.000,505.100
284239.000,284247.000,505.100
284246.000,284246.000,505.100
284227.000,284244.000,505.100
284227.000,284240.000,505.100
284229.000,284237.000,505.100
284243.000,284235.000,505.100
284249.000,284237.000,505.100
284256.000,284240.000,505.100
284268.000,284244.000,505.100
284267.000,284250.000,505.100
284264.000,284254.000,505.100
284277.000,284257.000,505.100
284265.000,284259.000,505.100
284272.000,284262.000,505.200
284281.000,284265.000,505.200
284277.000,284268.000,505.200
284268.000,284270.000,505.200
284271.000,284270.000,505.100
284282.000,284271.000,505.100
284267.000,284271.000,505.100
284241.000,284270.000,505.100
284253.000,284266.000,505.100
284263.000,284262.000,505.100
284268.000,284263.000,505.100
284276.000,284264.000,505.000
284260.000,284265.000,505.000
284260.000,284264.000,505.000
284269.000,284263.000,505.000
284283.000,284264.000,505.000
284282.000,284269.000,505.000
284288.000,284272.000,505.000
284285.000,284275.000,505.000
284288.000,284279.000,505.000
284299.000,284281.000,505.000
284308.000,284285.000,505.000
284307.000,284291.000,505.000
284312.000,284295.000,505.000
284312.000,284299.000,505.000
284309.000,284303.000,504.900
284312.000,284305.000,504.900
284319.000,284307.000,504.900
284343.000,284310.000,504.900
284343.000,284318.000,504.900
284319.000,284324.000,504.900
284322.000,284324.000,504.900
284329.000,284323.000,504.900
284337.000,284325.000,504.900
284333.000,284327.000,504.900
284350.000,284329.000,504.900
284340.000,284332.000,504.900
284341.000,284334.000,504.900
284344.000,284336.000,504.800
284345.000,284338.000,504.800
284359.000,284340.000,504.800
284357.000,284344.000,504.800
284356.000,284347.000,504.800
284368.000,284350.000,504.800
284378.000,284354.000,504.800
284394.000,284360.000,504.800
284395.000,284369.000,504.800
284378.000,284375.000,504.800
284385.000,284377.000,504.800
284398.000,284379.000,504.800
284400.000,284384.000,504.800
284390.000,284388.000,504.800
284390.000,284388.000,504.800
284397.000,284389.000,504.800
284432.000,284391.000,504.800
284434.000,284401.000,504.800
284430.000,284409.000,504.800
284431.000,284414.000,504.800
284450.000,284418.000,504.800
284454.000,284426.000,504.800
284448.000,284432.000,504.800
284449.000,284436.000,504.800
284446.000,284439.000,504.800
284445.000,284441.000,504.800
284457.000,284442.000,504.800
284451.000,284444.000,504.800
284436.000,284446.000,504.800
284434.000,284444.000,504.800
284434.000,284441.000,504.800
284444.000,284439.000,504.800
284444.000,284441.000,504.800
284452.000,284441.000,504.800
284458.000,284444.000,504.800
284463.000,284448.000,504.800
284477.000,284451.000,504.800
284489.000,284458.000,504.800
284490.000,284466.000,504.800
284487.000,284471.000,504.800
284479.000,284475.000,504.800
284477.000,284476.000,504.800
284496.000,284477.000,504.800
284502.000,284482.000,504.800
284503.000,284487.000,504.800
284519.000,284491.000,504.800
284516.000,284497.000,504.800
284508.000,284502.000,504.800
284500.000,284503.000,504.800
284507.000,284504.000,504.800
284515.000,284505.000,504.800
284515.000,284507.000,504.800
284524.000,284509.000,504.800
284507.000,284511.000,504.800
284517.000,284512.000,504.800
284519.000,284513.000,504.800
284515.000,284514.000,504.800
284512.000,284515.000,504.800
284504.000,284514.000,504.800
284503.000,284511.000,504.800
284485.000,284509.000,504.800
284491.000,284505.000,504.800
284492.000,284501.000,504.700
284504.000,284499.000,504.700
284507.000,284500.000,504.700
284521.000,284502.000,504.700
284516.000,284505.000,504.700
284515.000,284508.000,504.700
284499.000,284510.000,504.700
284495.000,284507.000,504.700
284491.000,284504.000,504.700
284483.000,284501.000,504.700
284487.000,284497.000,504.700
284511.000,284495.000,504.700
284528.000,284499.000,504.700
284523.000,284505.000,504.700
284522.000,284509.000,504.700
284529.000,284513.000,504.700
284547.000,284517.000,504.700
284548.000,284524.000,504.700
284545.000,284530.000,504.700
284554.000,284535.000,504.700
284556.000,284539.000,504.700
284556.000,284544.000,504.700
284564.000,284547.000,504.800
284584.000,284551.000,504.800
284568.000,284555.000,504.800
284560.000,284558.000,504.800
284573.000,284561.000,504.800
284573.000,284564.000,504.800
284566.000,284566.000,504.800
284567.000,284566.000,504.800
284574.000,284567.000,504.800
284580.000,284568.000,504.800
284594.000,284571.000,504.800
284593.000,284577.000,504.800
284588.000,284581.000,504.800
284586.000,284583.000,504.800
284588.000,284584.000,504.800
284606.000,284585.000,504.800
284617.000,284590.000,504.800
284613.000,284596.000,504.800
284613.000,284600.000,504.800
284609.000,284603.000,504.800
284616.000,284606.000,504.800
284607.000,284607.000,504.800
284597.000,284607.000,504.800
284587.000,284604.000,504.800
284603.000,284602.000,504.800
284609.000,284603.000,504.800
284588.000,284603.000,504.800
284586.000,284599.000,504.800
284590.000,284596.000,504.700
284587.000,284594.000,504.700
284579.000,284592.000,504.700
284576.000,284589.000,504.700
284574.000,284586.000,504.700
284572.000,284583.000,504.700
284571.000,284580.000,504.700
284579.000,284578.000,504.700
284595.000,284578.000,504.700
284592.000,284582.000,504.700
284590.000,284584.000,504.700
284588.000,284586.000,504.700
284569.000,284586.000,504.700
284579.000,284584.000,504.700
284577.000,284583.000,504.700
284578.000,284581.000,504.700
284580.000,284581.000,504.700
284578.000,284580.000,504.700
284589.000,284580.000,504.600
284578.000,284579.000,504.600
284582.000,284580.000,504.600
284572.000,284580.000,504.600
284572.000,284578.000,504.600
284568.000,284576.000,504.600
284576.000,284575.000,504.600
284589.000,284575.000,504.600
284595.000,284579.000,504.600
284596.000,284583.000,504.600
284600.000,284586.000,504.600
284588.000,284589.000,504.600
284585.000,284588.000,504.600
284598.000,284588.000,504.600
284600.000,284591.000,504.600
284602.000,284593.000,504.600
284610.000,284595.000,504.600
284618.000,284599.000,504.600
284606.000,284602.000,504.600
284598.000,284603.000,504.600
284603.000,284603.000,504.600
284613.000,284603.000,504.600
284610.000,284605.000,504.600
284602.000,284606.000,504.600
284621.000,284607.000,504.600
284617.000,284609.000,504.600
284614.000,284611.000,504.600
284606.000,284612.000,504.600
284621.000,284613.000,504.600
284623.000,284615.000,504.600
284627.000,284617.000,504.600
284626.000,284619.000,504.600
284621.000,284621.000,504.600
284613.000,284621.000,504.600
284626.000,284621.000,504.600
284640.000,284622.000,504.600
284624.000,284623.000,504.600
284629.000,284625.000,504.600
284617.000,284624.000,504.600
284610.000,284623.000,504.600
284617.000,284621.000,504.600
284613.000,284619.000,504.600
