I0,I1,I2
7364.000,7361.000,2.500
7378.000,7362.000,2.500
7395.000,7366.000,2.500
7390.000,7372.000,2.500
7396.000,7378.000,2.500
7391.000,7381.000,2.500
7383.000,7384.000,2.500
7381.000,7383.000,2.500
7396.000,7383.000,2.500
7391.000,7385.000,2.500
7389.000,7387.000,2.500
7390.000,7388.000,2.500
7402.000,7388.000,2.500
7397.000,7390.000,2.500
7381.000,7392.000,2.500
7360.000,7389.000,2.500
7375.000,7386.000,2.500
7389.000,7383.000,2.500
7390.000,7385.000,2.500
7393.000,7386.000,2.500
7395.000,7388.000,2.500
7403.000,7389.000,2.500
7408.000,7393.000,2.500
7420.000,7397.000,2.500
7420.000,7402.000,2.500
7429.000,7407.000,2.600
7445.000,7412.000,2.600
7436.000,7418.000,2.600
7443.000,7424.000,2.600
7446.000,7429.000,2.600
7464.000,7433.000,2.600
7466.000,7441.000,2.600
7468.000,7447.000,2.600
7479.000,7452.000,2.600
7489.000,7459.000,2.600
7479.000,7464.000,2.700
7485.000,7469.000,2.700
7498.000,7473.000,2.700
7489.000,7477.000,2.700
7488.000,7480.000,2.700
7493.000,7482.000,2.700
7495.000,7485.000,2.700
7505.000,7488.000,2.700
7515.000,7492.000,2.700
7523.000,7498.000,2.700
7543.000,7504.000,2.700
7552.000,7514.000,2.700
7553.000,7523.000,2.800
7549.000,7530.000,2.800
7558.000,7536.000,2.800
7570.000,7542.000,2.800
7582.000,7549.000,2.800
7578.000,7556.000,2.800
7579.000,7562.000,2.800
7579.000,7566.000,2.800
7583.000,7569.000,2.900
7574.000,7572.000,2.900
7578.000,7573.000,2.900
7576.000,7574.000,2.900
7565.000,7574.000,2.900
7579.000,7575.000,2.900
7579.000,7576.000,2.900
7574.000,7577.000,2.900
7566.000,7576.000,2.900
7573.000,7575.000,2.900
7589.000,7575.000,2.900
7579.000,7576.000,2.900
7575.000,7577.000,2.900
7563.000,7576.000,2.900
7582.000,7576.000,2.900
7590.000,7577.000,2.900
7591.000,7581.000,2.900
7596.000,7583.000,2.900
7604.000,7586.000,2.900
7611.000,7591.000,2.900
7612.000,7596.000,2.900
7613.000,7600.000,2.900
7618.000,7603.000,2.900
7632.000,7607.000,2.900
7622.000,7611.000,2.900
7625.000,7614.000,2.900
7613.000,7616.000,2.900
7606.000,7615.000,2.900
7602.000,7613.000,2.900
7594.000,7610.000,2.900
7606.000,7608.000,2.900
7606.000,7608.000,2.900
7604.000,7607.000,2.900
7608.000,7607.000,2.900
7609.000,7607.000,2.900
7602.000,7607.000,2.900
7623.000,7608.000,2.900
7628.000,7612.000,2.900
7622.000,7614.000,2.900
7603.000,7616.000,2.900
7605.000,7614.000,2.900
7610.000,7611.000,2.900
7598.000,7610.000,2.900
7606.000,7609.000,2.900
7614.000,7608.000,2.900
7601.000,7608.000,2.900
7589.000,7606.000,2.900
7602.000,7605.000,2.900
7591.000,7601.000,2.900
7585.000,7599.000,2.900
7578.000,7595.000,2.900
7586.000,7593.000,2.900
7604.000,7591.000,2.900
7598.000,7593.000,2.900
7592.000,7594.000,2.900
7590.000,7594.000,2.900
7615.000,7593.000,2.900
7610.000,7597.000,2.900
7613.000,7601.000,2.900
7628.000,7604.000,2.900
7626.000,7610.000,2.900
7614.000,7614.000,2.900
7625.000,7617.000,2.900
7635.000,7619.000,2.900
7630.000,7621.000,2.900
7627.000,7624.000,3.000
7631.000,7625.000,3.000
7649.000,7627.000,3.000
7659.000,7632.000,3.000
7667.000,7639.000,3.000
7672.000,7646.000,3.000
7675.000,7652.000,3.000
7684.000,7658.000,3.000
7694.000,7665.000,3.000
7702.000,7672.000,3.000
7700.000,7679.000,3.100
7703.000,7685.000,3.100
7716.000,7689.000,3.100
7720.000,7696.000,3.100
7718.000,7701.000,3.100
7728.000,7706.000,3.100
7734.000,7712.000,3.100
7736.000,7717.000,3.100
7746.000,7722.000,3.100
7742.000,7727.000,3.100
7747.000,7732.000,3.200
7757.000,7736.000,3.200
7764.000,7741.000,3.200
7750.000,7745.000,3.200
7748.000,7746.000,3.200
7759.000,7747.000,3.200
7760.000,7750.000,3.200
7750.000,7752.000,3.200
7760.000,7754.000,3.200
7779.000,7756.000,3.200
7768.000,7759.000,3.200
7757.000,7761.000,3.200
7768.000,7763.000,3.200
7785.000,7764.000,3.200
7786.000,7769.000,3.200
7792.000,7773.000,3.200
7801.000,7778.000,3.200
7809.000,7784.000,3.200
7810.000,7790.000,3.300
7805.000,7795.000,3.300
7812.000,7799.000,3.300
7821.000,7802.000,3.300
7815.000,7805.000,3.300
7826.000,7809.000,3.300
7838.000,7813.000,3.300
7839.000,7820.000,3.300
7833.000,7824.000,3.300
7849.000,7828.000,3.300
7863.000,7833.000,3.300
7838.000,7837.000,3.300
7829.000,7837.000,3.300
7849.000,7837.000,3.300
7855.000,7840.000,3.400
7858.000,7844.000,3.400
7857.000,7847.000,3.400
7854.000,7850.000,3.400
7849.000,7851.000,3.400
7856.000,7852.000,3.400
7857.000,7853.000,3.400
7868.000,7854.000,3.400
7866.000,7857.000,3.400
7860.000,7859.000,3.400
7858.000,7859.000,3.400
7862.000,7859.000,3.400
7862.000,7860.000,3.400
7854.000,7861.000,3.400
7873.000,7861.000,3.400
7868.000,7863.000,3.400
7855.000,7864.000,3.400
7852.000,7862.000,3.400
7846.000,7859.000,3.400
7862.000,7858.000,3.400
7860.000,7858.000,3.400
7850.000,7859.000,3.400
7852.000,7857.000,3.400
7868.000,7856.000,3.400
7876.000,7859.000,3.400
7889.000,7863.000,3.400
7900.000,7870.000,3.400
7906.000,7877.000,3.400
7894.000,7883.000,3.400
7891.000,7886.000,3.400
7903.000,7888.000,3.400
7898.000,7890.000,3.400
7914.000,7893.000,3.500
7921.000,7899.000,3.500
7918.000,7903.000,3.500
7930.000,7908.000,3.500
7934.000,7913.000,3.500
7928.000,7918.000,3.500
7947.000,7922.000,3.500
7955.000,7928.000,3.500
7949.000,7933.000,3.500
7968.000,7939.000,3.500
7974.000,7946.000,3.500
7972.000,7953.000,3.600
7980.000,7958.000,3.600
7980.000,7963.000,3.600
7977.000,7968.000,3.600
7986.000,7971.000,3.600
7986.000,7974.000,3.600
7988.000,7977.000,3.600
7988.000,7980.000,3.600
7992.000,7982.000,3.600
8010.000,7985.000,3.600
8012.000,7991.000,3.600
8001.000,7996.000,3.600
8005.000,7998.000,3.600
8000.000,7999.000,3.600
8008.000,8000.000,3.600
8016.000,8002.000,3.700
8028.000,8006.000,3.700
8035.000,8011.000,3.700
8034.000,8017.000,3.700
8038.000,8021.000,3.700
8028.000,8025.000,3.700
8020.000,8025.000,3.700
8022.000,8025.000,3.700
8040.000,8024.000,3.700
8052.000,8028.000,3.700
8046.000,8032.000,3.700
8047.000,8036.000,3.700
8060.000,8039.000,3.700
8048.000,8041.000,3.700
8041.000,8043.000,3.700
8068.000,8044.000,3.700
8075.000,8050.000,3.700
8093.000,8056.000,3.800
8081.000,8062.000,3.800
8083.000,8068.000,3.800
8073.000,8071.000,3.800
8074.000,8072.000,3.800
