I0,I1,I2
11246.000,11246.000,53.600
10438.000,11044.000,53.200
10016.000,10787.000,52.700
9781.000,10594.000,52.400
9621.000,10391.000,52.000
9495.000,10198.000,51.600
9413.000,10023.000,51.300
9345.000,9870.000,51.000
9280.000,9739.000,50.800
9231.000,9624.000,50.600
9172.000,9526.000,50.400
9140.000,9437.000,50.200
9121.000,9363.000,50.100
9124.000,9303.000,50.000
9124.000,9258.000,49.900
9099.000,9225.000,49.800
9091.000,9193.000,49.800
9076.000,9168.000,49.700
9059.000,9145.000,49.700
9041.000,9123.000,49.600
9036.000,9103.000,49.600
9042.000,9087.000,49.600
9035.000,9075.000,49.500
9026.000,9065.000,49.500
9022.000,9055.000,49.500
9011.000,9047.000,49.500
8992.000,9038.000,49.500
8995.000,9027.000,49.500
8998.000,9019.000,49.400
8986.000,9013.000,49.400
8969.000,9006.000,49.400
8953.000,8997.000,49.400
8933.000,8986.000,49.400
8925.000,8973.000,49.400
8915.000,8961.000,49.300
8904.000,8949.000,49.300
8881.000,8938.000,49.300
8882.000,8924.000,49.300
8892.000,8914.000,49.200
8880.000,8906.000,49.200
8890.000,8902.000,49.200
8916.000,8899.000,49.200
8913.000,8902.000,49.200
8902.000,8905.000,49.200
8885.000,8904.000,49.200
8882.000,8899.000,49.200
8875.000,8895.000,49.200
8873.000,8890.000,49.200
8864.000,8886.000,49.200
8857.000,8880.000,49.200
8850.000,8875.000,49.200
8847.000,8868.000,49.200
8844.000,8863.000,49.200
8840.000,8858.000,49.100
8844.000,8855.000,49.100
8840.000,8851.000,49.100
8848.000,8849.000,49.100
8840.000,8847.000,49.100
8847.000,8847.000,49.100
8861.000,8847.000,49.100
8846.000,8847.000,49.100
8851.000,8848.000,49.100
8874.000,8849.000,49.100
8864.000,8853.000,49.100
8848.000,8855.000,49.100
8840.000,8854.000,49.100
8837.000,8850.000,49.100
8825.000,8847.000,49.100
8811.000,8841.000,49.100
8806.000,8834.000,49.100
8807.000,8827.000,49.100
8796.000,8822.000,49.100
8784.000,8815.000,49.100
8792.000,8810.000,49.100
8779.000,8803.000,49.000
8768.000,8797.000,49.000
8772.000,8791.000,49.000
8763.000,8785.000,49.000
8747.000,8780.000,49.000
8752.000,8773.000,49.000
8753.000,8768.000,49.000
8748.000,8764.000,49.000
8747.000,8760.000,49.000
8754.000,8757.000,49.000
8743.000,8754.000,49.000
8730.000,8752.000,48.900
8722.000,8746.000,48.900
8699.000,8740.000,48.900
8689.000,8730.000,48.900
8702.000,8722.000,48.900
8716.000,8717.000,48.900
8716.000,8717.000,48.900
8700.000,8717.000,48.900
8699.000,8712.000,48.900
8726.000,8709.000,48.900
8742.000,8714.000,48.900
8746.000,8721.000,48.900
8743.000,8726.000,48.900
8742.000,8730.000,48.900
8762.000,8734.000,48.900
8764.000,8741.000,48.900
8775.000,8747.000,48.900
8775.000,8754.000,49.000
8778.000,8759.000,49.000
8791.000,8764.000,49.000
