I0,I1,I2
17152.000,17152.000,13.900
16356.000,16953.000,13.700
15952.000,16703.000,13.500
15704.000,16515.000,13.300
15554.000,16312.000,13.100
15443.000,16123.000,12.900
15363.000,15953.000,12.700
15317.000,15805.000,12.500
15265.000,15683.000,12.300
15219.000,15579.000,12.100
15201.000,15489.000,11.900
15183.000,15417.000,11.800
15159.000,15358.000,11.700
15130.000,15309.000,11.600
15132.000,15264.000,11.600
15135.000,15231.000,11.500
15134.000,15207.000,11.500
15120.000,15189.000,11.500
15099.000,15172.000,11.400
15098.000,15153.000,11.400
15092.000,15140.000,11.400
15091.000,15128.000,11.400
15096.000,15119.000,11.400
15091.000,15112.000,11.400
15090.000,15107.000,11.400
15079.000,15102.000,11.400
15068.000,15097.000,11.400
15074.000,15091.000,11.400
15073.000,15086.000,11.400
15069.000,15083.000,11.400
15069.000,15080.000,11.400
15080.000,15077.000,11.400
15091.000,15078.000,11.400
15081.000,15079.000,11.400
15059.000,15079.000,11.400
15059.000,15074.000,11.400
15070.000,15070.000,11.400
15083.000,15070.000,11.400
15079.000,15072.000,11.500
15066.000,15074.000,11.500
15063.000,15072.000,11.500
15063.000,15070.000,11.500
15047.000,15068.000,11.500
15053.000,15064.000,11.500
15063.000,15061.000,11.500
15058.000,15061.000,11.500
15059.000,15060.000,11.500
15070.000,15060.000,11.500
15062.000,15060.000,11.500
15068.000,15062.000,11.500
15076.000,15064.000,11.500
15068.000,15065.000,11.500
15054.000,15066.000,11.500
15056.000,15063.000,11.500
15045.000,15061.000,11.500
15040.000,15057.000,11.500
15041.000,15053.000,11.500
15052.000,15050.000,11.500
15041.000,15048.000,11.500
15024.000,15046.000,11.500
15023.000,15041.000,11.500
15020.000,15036.000,11.500
15018.000,15032.000,11.500
15030.000,15029.000,11.500
15024.000,15028.000,11.500
15009.000,15027.000,11.500
15008.000,15022.000,11.500
15004.000,15019.000,11.500
15007.000,15016.000,11.500
15004.000,15013.000,11.500
15005.000,15011.000,11.500
15015.000,15009.000,11.500
15010.000,15010.000,11.600
15002.000,15010.000,11.600
14993.000,15008.000,11.600
14989.000,15004.000,11.600
14987.000,15000.000,11.600
14982.000,14997.000,11.600
14978.000,14993.000,11.600
14994.000,14990.000,11.500
15001.000,14991.000,11.500
14990.000,14992.000,11.500
14986.000,14991.000,11.500
14998.000,14991.000,11.500
14992.000,14991.000,11.500
14980.000,14992.000,11.500
14989.000,14991.000,11.500
14986.000,14990.000,11.500
14992.000,14989.000,11.500
15002.000,14990.000,11.500
14998.000,14992.000,11.500
14999.000,14994.000,11.500
14989.000,14995.000,11.500
14985.000,14993.000,11.500
14993.000,14992.000,11.500
15009.000,14992.000,11.500
15002.000,14995.000,11.500
14998.000,14997.000,11.500
14994.000,14997.000,11.500
14998.000,14997.000,11.500
14998.000,14997.000,11.500
15003.000,14998.000,11.500
15003.000,14999.000,11.500
15004.000,15000.000,11.500
14996.000,15001.000,11.400
15002.000,15001.000,11.400
15002.000,15001.000,11.400
14982.000,15001.000,11.400
14987.000,14998.000,11.400
15006.000,14995.000,11.400
15010.000,14998.000,11.400
15013.000,15001.000,11.400
15002.000,15003.000,11.400
15003.000,15003.000,11.300
15009.000,15003.000,11.300
15018.000,15005.000,11.300
15020.000,15008.000,11.300
15021.000,15011.000,11.300
15030.000,15013.000,11.300
15038.000,15018.000,11.300
15021.000,15021.000,11.300
15021.000,15021.000,11.300
15022.000,15021.000,11.300
15034.000,15021.000,11.300
15034.000,15024.000,11.200
15036.000,15027.000,11.200
15029.000,15029.000,11.200
15044.000,15030.000,11.200
15043.000,15034.000,11.200
15051.000,15036.000,11.200
15037.000,15038.000,11.200
15030.000,15038.000,11.200
15034.000,15037.000,11.200
15038.000,15036.000,11.200
15036.000,15036.000,11.100
15036.000,15036.000,11.100
15049.000,15036.000,11.100
15038.000,15037.000,11.100
15031.000,15037.000,11.100
15024.000,15035.000,11.100
15043.000,15034.000,11.100
15034.000,15034.000,11.100
15034.000,15034.000,11.000
15038.000,15034.000,11.000
15042.000,15035.000,11.000
15042.000,15037.000,11.000
15034.000,15038.000,11.000
15043.000,15039.000,11.000
15055.000,15040.000,11.000
15067.000,15044.000,11.000
15056.000,15047.000,11.000
15047.000,15049.000,11.000
15043.000,15049.000,11.000
15049.000,15048.000,11.000
15044.000,15047.000,11.000
15043.000,15046.000,11.000
15037.000,15046.000,11.000
15033.000,15043.000,11.000
15044.000,15042.000,11.000
15044.000,15042.000,10.900
15046.000,15043.000,10.900
15056.000,15044.000,10.900
15052.000,15046.000,10.900
15047.000,15047.000,10.900
15040.000,15047.000,10.900
15049.000,15047.000,10.900
15047.000,15047.000,10.900
15045.000,15047.000,10.900
15051.000,15047.000,10.900
15055.000,15048.000,10.900
15036.000,15049.000,10.900
15032.000,15046.000,10.900
15028.000,15042.000,10.900
15034.000,15040.000,10.900
15043.000,15038.000,10.900
15044.000,15039.000,10.900
15039.000,15040.000,10.900
15038.000,15040.000,10.900
15038.000,15039.000,10.900
15045.000,15039.000,10.800
15050.000,15041.000,10.800
15051.000,15043.000,10.800
15071.000,15045.000,10.800
15061.000,15049.000,10.800
15056.000,15052.000,10.800
15047.000,15053.000,10.800
15051.000,15052.000,10.800
15045.000,15051.000,10.800
15042.000,15050.000,10.800
15038.000,15048.000,10.800
15050.000,15046.000,10.800
15068.000,15047.000,10.800
15069.000,15052.000,10.800
15063.000,15056.000,10.800
15070.000,15059.000,10.800
15071.000,15062.000,10.800
15079.000,15064.000,10.800
15089.000,15068.000,10.800
15095.000,15073.000,10.800
15094.000,15078.000,10.800
15077.000,15082.000,10.800
15086.000,15083.000,10.800
15099.000,15084.000,10.800
15103.000,15088.000,10.800
15106.000,15092.000,10.800
15119.000,15095.000,10.800
15117.000,15101.000,10.800
15115.000,15105.000,10.900
15120.000,15108.000,10.900
15120.000,15111.000,10.900
15114.000,15113.000,10.900
15123.000,15115.000,10.900
15135.000,15117.000,10.900
15141.000,15121.000,10.900
15146.000,15126.000,10.900
15149.000,15131.000,10.900
15165.000,15136.000,10.900
15158.000,15141.000,10.900
15158.000,15145.000,10.900
15152.000,15149.000,10.900
15142.000,15149.000,10.900
15154.000,15150.000,10.900
15156.000,15151.000,10.900
15156.000,15152.000,10.900
15164.000,15153.000,10.900
15161.000,15155.000,10.900
15151.000,15157.000,10.900
15151.000,15155.000,10.900
15166.000,15154.000,10.900
15157.000,15155.000,10.900
15155.000,15155.000,10.900
15165.000,15156.000,10.900
15160.000,15157.000,10.900
15162.000,15158.000,10.900
15168.000,15159.000,10.900
15180.000,15161.000,10.900
15195.000,15166.000,10.900
15186.000,15171.000,10.900
15194.000,15177.000,10.900
