I0,I1,I2
287775.000,287775.000,510.100
286949.000,287569.000,509.900
286540.000,287311.000,509.600
286283.000,287119.000,509.400
286098.000,286910.000,509.200
285981.000,286707.000,509.000
285903.000,286525.000,508.800
285839.000,286370.000,508.500
285781.000,286237.000,508.300
285724.000,286123.000,508.100
285660.000,286023.000,507.900
285625.000,285932.000,507.800
285574.000,285856.000,507.600
285524.000,285785.000,507.500
285513.000,285720.000,507.400
285487.000,285668.000,507.300
285455.000,285623.000,507.300
285429.000,285581.000,507.200
285412.000,285543.000,507.100
285400.000,285510.000,507.100
285388.000,285483.000,507.000
285366.000,285459.000,507.000
285341.000,285436.000,507.000
285338.000,285412.000,506.900
285337.000,285394.000,506.900
285310.000,285379.000,506.900
285286.000,285362.000,506.900
285271.000,285343.000,506.800
285262.000,285325.000,506.800
285236.000,285309.000,506.800
285217.000,285291.000,506.800
285207.000,285272.000,506.700
285196.000,285256.000,506.700
285191.000,285241.000,506.700
285167.000,285229.000,506.700
285135.000,285213.000,506.700
285132.000,285194.000,506.700
285122.000,285178.000,506.600
285110.000,285164.000,506.600
285097.000,285151.000,506.600
285083.000,285137.000,506.600
285085.000,285124.000,506.600
285091.000,285114.000,506.600
285084.000,285107.000,506.500
285087.000,285102.000,506.500
285060.000,285098.000,506.500
285048.000,285088.000,506.500
285047.000,285078.000,506.500
285035.000,285070.000,506.500
285013.000,285062.000,506.500
284998.000,285049.000,506.500
285000.000,285037.000,506.400
284992.000,285027.000,506.400
284979.000,285018.000,506.400
284966.000,285009.000,506.400
284955.000,284998.000,506.400
284957.000,284988.000,506.400
284953.000,284980.000,506.400
284945.000,284973.000,506.400
284934.000,284966.000,506.300
284935.000,284958.000,506.300
284915.000,284952.000,506.300
284893.000,284943.000,506.300
284904.000,284933.000,506.300
284909.000,284926.000,506.300
284886.000,284920.000,506.300
284876.000,284912.000,506.300
284872.000,284903.000,506.300
284841.000,284895.000,506.300
284842.000,284882.000,506.300
284862.000,284872.000,506.300
284854.000,284867.000,506.300
284837.000,284864.000,506.300
284836.000,284857.000,506.300
284839.000,284852.000,506.300
284831.000,284848.000,506.300
