I0,I1,I2
36449.000,36400.000,56.600
36447.000,36412.000,56.700
36420.000,36421.000,56.700
36385.000,36421.000,56.700
36345.000,36412.000,56.700
36335.000,36395.000,56.600
36376.000,36383.000,56.600
36398.000,36381.000,56.600
36420.000,36385.000,56.600
36447.000,36394.000,56.600
36442.000,36406.000,56.600
36423.000,36415.000,56.700
36380.000,36417.000,56.700
36346.000,36408.000,56.600
36323.000,36392.000,56.600
36341.000,36379.000,56.600
36384.000,36370.000,56.600
36418.000,36373.000,56.600
36432.000,36385.000,56.600
36439.000,36396.000,56.600
36423.000,36405.000,56.600
36370.000,36410.000,56.700
36329.000,36400.000,56.600
36320.000,36382.000,56.600
36346.000,36369.000,56.600
36366.000,36363.000,56.600
36400.000,36364.000,56.600
36414.000,36373.000,56.600
36422.000,36383.000,56.600
36403.000,36391.000,56.600
36370.000,36394.000,56.600
36345.000,36388.000,56.600
36333.000,36377.000,56.600
36342.000,36368.000,56.600
36354.000,36362.000,56.600
36382.000,36360.000,56.600
36412.000,36365.000,56.600
36426.000,36377.000,56.600
36402.000,36386.000,56.600
36375.000,36390.000,56.600
36341.000,36386.000,56.600
36322.000,36375.000,56.600
36318.000,36362.000,56.600
36348.000,36352.000,56.500
36379.000,36351.000,56.500
36394.000,36358.000,56.600
36420.000,36367.000,56.600
36415.000,36379.000,56.600
36386.000,36388.000,56.600
36335.000,36387.000,56.600
36325.000,36374.000,56.600
36320.000,36362.000,56.600
36346.000,36353.000,56.500
36371.000,36351.000,56.500
36399.000,36356.000,56.600
36409.000,36367.000,56.600
36402.000,36376.000,56.600
36372.000,36382.000,56.600
36342.000,36380.000,56.600
36329.000,36370.000,56.600
36313.000,36360.000,56.600
36332.000,36352.000,56.500
36358.000,36347.000,56.500
36393.000,36350.000,56.500
36401.000,36361.000,56.600
36397.000,36370.000,56.600
36386.000,36377.000,56.600
36342.000,36379.000,56.600
36327.000,36370.000,56.600
36316.000,36359.000,56.600
36338.000,36351.000,56.500
36372.000,36348.000,56.500
36392.000,36354.000,56.500
36400.000,36363.000,56.600
36395.000,36371.000,56.600
36374.000,36377.000,56.600
36351.000,36376.000,56.600
36323.000,36370.000,56.600
36320.000,36358.000,56.600
36346.000,36349.000,56.500
36378.000,36349.000,56.500
36397.000,36356.000,56.600
36410.000,36366.000,56.600
36410.000,36377.000,56.600
36390.000,36385.000,56.600
36366.000,36387.000,56.600
36337.000,36381.000,56.600
36309.000,36370.000,56.600
36327.000,36359.000,56.600
36361.000,36351.000,56.500
36379.000,36354.000,56.500
36398.000,36360.000,56.600
36413.000,36370.000,56.600
36383.000,36377.000,56.600
36355.000,36378.000,56.600
36339.000,36372.000,56.600
36327.000,36364.000,56.600
36332.000,36356.000,56.600
36364.000,36350.000,56.500
36372.000,36354.000,56.500
36394.000,36358.000,56.600
36399.000,36367.000,56.600
36396.000,36374.000,56.600
36367.000,36380.000,56.600
36332.000,36377.000,56.600
36324.000,36365.000,56.600
36328.000,36356.000,56.600
36349.000,36349.000,56.500
36394.000,36349.000,56.500
36421.000,36360.000,56.600
36417.000,36374.000,56.600
36396.000,36385.000,56.600
36373.000,36388.000,56.600
36348.000,36384.000,56.600
36330.000,36375.000,56.600
36337.000,36366.000,56.600
36369.000,36358.000,56.600
36399.000,36361.000,56.600
36412.000,36371.000,56.600
36415.000,36381.000,56.600
36392.000,36389.000,56.600
36366.000,36390.000,56.600
36352.000,36384.000,56.600
36346.000,36376.000,56.600
36345.000,36368.000,56.600
36350.000,36363.000,56.600
36386.000,36360.000,56.600
36406.000,36366.000,56.600
36421.000,36376.000,56.600
36395.000,36384.000,56.600
36374.000,36386.000,56.600
36370.000,36383.000,56.600
36357.000,36380.000,56.600
36349.000,36374.000,56.600
36377.000,36370.000,56.600
36402.000,36372.000,56.600
36414.000,36379.000,56.600
36411.000,36387.000,56.600
36403.000,36393.000,56.600
36397.000,36396.000,56.600
36378.000,36396.000,56.600
36358.000,36391.000,56.600
36368.000,36386.000,56.600
36392.000,36381.000,56.600
36412.000,36384.000,56.600
36431.000,36391.000,56.600
36427.000,36400.000,56.600
36410.000,36407.000,56.600
36396.000,36408.000,56.600
36394.000,36405.000,56.600
36377.000,36402.000,56.600
36359.000,36396.000,56.600
36379.000,36391.000,56.600
36415.000,36388.000,56.600
36421.000,36395.000,56.600
36427.000,36401.000,56.600
36433.000,36408.000,56.600
36420.000,36413.000,56.700
36394.000,36414.000,56.700
36377.000,36409.000,56.600
36380.000,36402.000,56.600
36414.000,36396.000,56.600
36432.000,36401.000,56.600
36443.000,36409.000,56.600
36451.000,36417.000,56.700
36445.000,36424.000,56.700
36422.000,36429.000,56.700
36398.000,36428.000,56.700
36376.000,36420.000,56.700
36378.000,36410.000,56.700
36396.000,36402.000,56.600
36425.000,36400.000,56.600
36451.000,36406.000,56.600
36445.000,36416.000,56.700
36437.000,36423.000,56.700
36443.000,36428.000,56.700
36424.000,36430.000,56.700
36405.000,36429.000,56.700
36405.000,36423.000,56.700
36414.000,36418.000,56.700
36434.000,36417.000,56.700
36456.000,36421.000,56.700
36456.000,36430.000,56.700
36436.000,36437.000,56.700
36431.000,36436.000,56.700
36414.000,36435.000,56.700
