I0,I1,I2
-17784.000,-17787.000,-43.800
-17793.000,-17786.000,-43.800
-17789.000,-17787.000,-43.800
-17788.000,-17788.000,-43.800
-17793.000,-17788.000,-43.800
-17802.000,-17789.000,-43.800
-17786.000,-17790.000,-43.800
-17785.000,-17789.000,-43.800
-17799.000,-17788.000,-43.800
-17792.000,-17789.000,-43.800
-17777.000,-17790.000,-43.800
-17767.000,-17787.000,-43.800
-17754.000,-17782.000,-43.800
-17757.000,-17776.000,-43.800
-17756.000,-17771.000,-43.800
-17763.000,-17767.000,-43.800
-17752.000,-17764.000,-43.800
-17757.000,-17763.000,-43.800
-17759.000,-17761.000,-43.700
-17749.000,-17760.000,-43.700
-17749.000,-17757.000,-43.700
-17733.000,-17755.000,-43.700
-17718.000,-17750.000,-43.700
-17724.000,-17743.000,-43.700
-17737.000,-17738.000,-43.700
-17737.000,-17738.000,-43.700
-17724.000,-17738.000,-43.700
-17728.000,-17735.000,-43.700
-17732.000,-17734.000,-43.700
-17729.000,-17732.000,-43.700
-17707.000,-17732.000,-43.700
-17695.000,-17725.000,-43.700
-17708.000,-17721.000,-43.700
-17711.000,-17718.000,-43.700
-17704.000,-17715.000,-43.700
-17699.000,-17712.000,-43.700
-17695.000,-17709.000,-43.700
-17695.000,-17706.000,-43.600
-17678.000,-17703.000,-43.600
-17673.000,-17697.000,-43.600
-17676.000,-17692.000,-43.600
-17659.000,-17687.000,-43.600
-17669.000,-17682.000,-43.600
-17673.000,-17679.000,-43.600
-17676.000,-17678.000,-43.600
-17686.000,-17677.000,-43.600
-17675.000,-17677.000,-43.600
-17684.000,-17679.000,-43.600
-17692.000,-17680.000,-43.600
-17686.000,-17681.000,-43.600
-17671.000,-17683.000,-43.600
-17672.000,-17680.000,-43.600
-17673.000,-17678.000,-43.600
-17675.000,-17677.000,-43.600
-17680.000,-17676.000,-43.600
-17670.000,-17676.000,-43.600
-17665.000,-17674.000,-43.600
-17671.000,-17673.000,-43.600
-17680.000,-17673.000,-43.600
-17671.000,-17672.000,-43.600
-17666.000,-17672.000,-43.600
-17684.000,-17672.000,-43.600
-17671.000,-17672.000,-43.600
-17650.000,-17671.000,-43.600
-17658.000,-17668.000,-43.600
-17651.000,-17664.000,-43.600
-17635.000,-17661.000,-43.600
-17646.000,-17657.000,-43.600
-17662.000,-17654.000,-43.500
-17667.000,-17656.000,-43.600
-17670.000,-17659.000,-43.600
-17647.000,-17661.000,-43.600
-17654.000,-17659.000,-43.600
-17654.000,-17658.000,-43.600
-17647.000,-17657.000,-43.600
-17654.000,-17656.000,-43.600
-17651.000,-17655.000,-43.600
-17653.000,-17654.000,-43.500
-17651.000,-17654.000,-43.500
-17647.000,-17653.000,-43.500
-17648.000,-17652.000,-43.500
-17651.000,-17651.000,-43.500
-17667.000,-17651.000,-43.500
-17659.000,-17653.000,-43.500
-17667.000,-17656.000,-43.600
-17663.000,-17658.000,-43.600
-17651.000,-17659.000,-43.600
-17650.000,-17657.000,-43.600
-17653.000,-17656.000,-43.600
-17668.000,-17655.000,-43.600
-17659.000,-17656.000,-43.600
-17643.000,-17657.000,-43.600
-17623.000,-17653.000,-43.500
-17611.000,-17646.000,-43.500
-17621.000,-17640.000,-43.500
-17621.000,-17635.000,-43.500
-17619.000,-17631.000,-43.500
-17611.000,-17628.000,-43.500
-17609.000,-17624.000,-43.500
-17607.000,-17620.000,-43.500
-17603.000,-17617.000,-43.500
-17595.000,-17613.000,-43.500
-17590.000,-17609.000,-43.500
-17573.000,-17604.000,-43.500
-17586.000,-17600.000,-43.400
-17598.000,-17596.000,-43.400
-17595.000,-17596.000,-43.400
-17581.000,-17596.000,-43.400
-17566.000,-17592.000,-43.400
-17570.000,-17587.000,-43.400
-17574.000,-17582.000,-43.400
-17566.000,-17579.000,-43.400
-17558.000,-17576.000,-43.400
-17561.000,-17572.000,-43.400
-17552.000,-17569.000,-43.400
-17546.000,-17565.000,-43.400
-17544.000,-17560.000,-43.400
-17518.000,-17556.000,-43.400
-17518.000,-17546.000,-43.300
-17509.000,-17539.000,-43.300
-17501.000,-17532.000,-43.300
-17513.000,-17526.000,-43.300
-17513.000,-17523.000,-43.300
-17500.000,-17520.000,-43.300
-17487.000,-17515.000,-43.300
-17488.000,-17508.000,-43.300
-17482.000,-17503.000,-43.300
-17490.000,-17499.000,-43.300
-17508.000,-17497.000,-43.300
-17513.000,-17500.000,-43.300
-17499.000,-17502.000,-43.300
-17489.000,-17501.000,-43.300
-17481.000,-17498.000,-43.300
-17474.000,-17494.000,-43.300
-17479.000,-17490.000,-43.200
-17488.000,-17487.000,-43.200
-17493.000,-17487.000,-43.200
-17480.000,-17488.000,-43.200
-17477.000,-17486.000,-43.200
-17466.000,-17484.000,-43.200
-17455.000,-17479.000,-43.200
-17464.000,-17475.000,-43.200
-17462.000,-17472.000,-43.200
-17460.000,-17470.000,-43.200
-17445.000,-17467.000,-43.200
-17436.000,-17462.000,-43.200
-17444.000,-17457.000,-43.200
-17455.000,-17454.000,-43.200
-17449.000,-17453.000,-43.200
-17445.000,-17452.000,-43.200
-17447.000,-17451.000,-43.200
-17440.000,-17449.000,-43.200
-17437.000,-17447.000,-43.200
-17421.000,-17444.000,-43.200
-17420.000,-17439.000,-43.200
-17428.000,-17434.000,-43.100
-17436.000,-17433.000,-43.100
-17449.000,-17433.000,-43.100
-17442.000,-17436.000,-43.100
-17432.000,-17437.000,-43.100
-17425.000,-17436.000,-43.100
-17421.000,-17433.000,-43.100
-17420.000,-17430.000,-43.100
-17410.000,-17428.000,-43.100
-17399.000,-17423.000,-43.100
-17396.000,-17417.000,-43.100
-17395.000,-17412.000,-43.100
-17390.000,-17408.000,-43.100
-17385.000,-17403.000,-43.100
-17371.000,-17399.000,-43.100
-17381.000,-17394.000,-43.100
-17384.000,-17391.000,-43.100
-17385.000,-17389.000,-43.100
-17382.000,-17388.000,-43.100
-17380.000,-17386.000,-43.100
-17371.000,-17385.000,-43.100
-17365.000,-17381.000,-43.000
-17360.000,-17377.000,-43.000
-17360.000,-17373.000,-43.000
-17356.000,-17370.000,-43.000
-17348.000,-17366.000,-43.000
-17340.000,-17362.000,-43.000
-17331.000,-17356.000,-43.000
-17321.000,-17350.000,-43.000
-17331.000,-17345.000,-43.000
-17321.000,-17339.000,-43.000
-17314.000,-17335.000,-43.000
-17317.000,-17330.000,-42.900
-17306.000,-17326.000,-42.900
-17291.000,-17321.000,-42.900
-17289.000,-17314.000,-42.900
-17284.000,-17307.000,-42.900
-17276.000,-17302.000,-42.900
-17279.000,-17296.000,-42.900
-17296.000,-17292.000,-42.900
-17296.000,-17293.000,-42.900
-17311.000,-17294.000,-42.900
-17302.000,-17296.000,-42.900
-17288.000,-17297.000,-42.900
-17307.000,-17298.000,-42.900
-17317.000,-17301.000,-42.900
-17320.000,-17305.000,-42.900
-17313.000,-17308.000,-42.900
-17323.000,-17311.000,-42.900
-17320.000,-17313.000,-42.900
-17318.000,-17315.000,-42.900
-17318.000,-17316.000,-42.900
-17311.000,-17316.000,-42.900
-17306.000,-17315.000,-42.900
-17302.000,-17313.000,-42.900
-17298.000,-17310.000,-42.900
-17290.000,-17307.000,-42.900
-17270.000,-17303.000,-42.900
-17263.000,-17295.000,-42.900
-17253.000,-17287.000,-42.900
-17264.000,-17281.000,-42.900
-17266.000,-17277.000,-42.900
-17261.000,-17273.000,-42.800
-17258.000,-17270.000,-42.800
-17254.000,-17267.000,-42.800
-17232.000,-17264.000,-42.800
-17235.000,-17257.000,-42.800
-17253.000,-17251.000,-42.800
-17249.000,-17251.000,-42.800
-17236.000,-17250.000,-42.800
-17220.000,-17247.000,-42.800
-17245.000,-17244.000,-42.800
-17241.000,-17243.000,-42.800
-17221.000,-17243.000,-42.800
-17223.000,-17238.000,-42.800
-17206.000,-17234.000,-42.800
-17198.000,-17227.000,-42.800
-17191.000,-17220.000,-42.700
-17190.000,-17212.000,-42.700
-17195.000,-17207.000,-42.700
-17193.000,-17204.000,-42.700
-17185.000,-17201.000,-42.700
-17193.000,-17199.000,-42.700
-17205.000,-17197.000,-42.700
-17198.000,-17198.000,-42.700
-17190.000,-17198.000,-42.700
-17193.000,-17197.000,-42.700
-17194.000,-17196.000,-42.700
-17181.000,-17195.000,-42.700
-17191.000,-17194.000,-42.700
-17199.000,-17193.000,-42.700
-17186.000,-17193.000,-42.700
-17197.000,-17194.000,-42.700
-17194.000,-17194.000,-42.700
-17187.000,-17194.000,-42.700
-17189.000,-17193.000,-42.700
-17186.000,-17191.000,-42.700
-17171.000,-17190.000,-42.700
-17176.000,-17186.000,-42.700
-17172.000,-17183.000,-42.700
-17161.000,-17180.000,-42.700
-17151.000,-17175.000,-42.700
-17152.000,-17170.000,-42.700
-17171.000,-17165.000,-42.600
-17172.000,-17167.000,-42.600
-17155.000,-17168.000,-42.600
-17151.000,-17165.000,-42.600
-17144.000,-17161.000,-42.600
-17148.000,-17158.000,-42.600
-17155.000,-17155.000,-42.600
-17150.000,-17154.000,-42.600
-17130.000,-17153.000,-42.600
-17122.000,-17147.000,-42.600
-17120.000,-17141.000,-42.600
-17128.000,-17136.000,-42.600
-17127.000,-17134.000,-42.600
-17120.000,-17132.000,-42.600
-17126.000,-17131.000,-42.600
-17142.000,-17129.000,-42.600
